"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"CPTA","Capitala Finance Corp.","7.66","$122.78M","2013","n/a","n/a","https://www.nasdaq.com/symbol/cpta",
"CPTAG","Capitala Finance Corp.","24.3248","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/cptag",
"CPTAL","Capitala Finance Corp.","24.509","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/cptal",
"CFFN","Capitol Federal Financial, Inc.","13.17","$1.86B","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/cffn",
"CAPR","Capricor Therapeutics, Inc.","0.53","$16.47M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/capr",
"CSTR","CapStar Financial Holdings, Inc.","15.34","$266.83M","2016","Finance","Major Banks","https://www.nasdaq.com/symbol/cstr",
"CPST","Capstone Turbine Corporation","0.64","$43.79M","2000","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cpst",
"CARA","Cara Therapeutics, Inc.","14.05","$554.23M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cara",
"CBLK","Carbon Black, Inc.","14.15","$961.03M","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cblk",
"CARB","Carbonite, Inc.","25.61","$885.03M","2011","Technology","EDP Services","https://www.nasdaq.com/symbol/carb",
"CSII","Cardiovascular Systems, Inc.","27.95","$969.9M","1981","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/csii",
"CDLX","Cardlytics, Inc.","13.53","$289.7M","2018","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/cdlx",
"CATM","Cardtronics plc","27.45","$1.27B","2007","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/catm",
"CDNA","CareDx, Inc.","27.44","$1.13B","2014","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/cdna",
"CECO","Career Education Corporation","12.64","$881.78M","1998","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/ceco",
"CTRE","CareTrust REIT, Inc.","20.44","$1.71B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/ctre",
"CARG","CarGurus, Inc.","34.76","$3.83B","2017","Technology","EDP Services","https://www.nasdaq.com/symbol/carg",
"CARO","Carolina Financial Corporation","31.3","$706.45M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/caro",
"CART","Carolina Trust BancShares, Inc.","7.44","$53.25M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cart",
"CRZO","Carrizo Oil & Gas, Inc.","12.515","$1.15B","1997","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/crzo",
"TAST","Carrols Restaurant Group, Inc.","9.64","$352.24M","2006","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/tast",
"CARV","Carver Bancorp, Inc.","3.52","$13.02M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/carv",
"CASM","CAS Medical Systems, Inc.","1.72","$49.64M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/casm",
"CASA","Casa Systems, Inc.","13.85","$1.15B","2017","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/casa",
"CWST","Casella Waste Systems, Inc.","30.37","$1.3B","1997","Public Utilities","Environmental Services","https://www.nasdaq.com/symbol/cwst",
"CASY","Caseys General Stores, Inc.","134.31","$4.92B","1983","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/casy",
"CASI","CASI Pharmaceuticals, Inc.","4.25","$397.75M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/casi",
"CASS","Cass Information Systems, Inc","55.05","$812.17M","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/cass",
"CATB","Catabasis Pharmaceuticals, Inc.","0.5919","$42.05M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/catb",
"CBIO","Catalyst Biosciences, Inc. ","9.62","$114.89M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cbio",
"CPRX","Catalyst Pharmaceuticals, Inc.","2.34","$240.41M","2006","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cprx",
"CATS","Catasys, Inc.","10.88","$175.56M","n/a","Health Care","Hospital/Nursing Management","https://www.nasdaq.com/symbol/cats",
"CATY","Cathay General Bancorp","35.08","$2.84B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/caty",
"CGVIC","Causeway ETMF Trust","100.1","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/cgvic",
"CIVEC","Causeway ETMF Trust","100.12","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/civec",
"CVCO","Cavco Industries, Inc.","139.9","$1.27B","n/a","Basic Industries","Homebuilding","https://www.nasdaq.com/symbol/cvco",
"CBFV","CB Financial Services, Inc.","25.45","$137.79M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cbfv",
"CBAT","CBAK Energy Technology, Inc.","0.56","$14.92M","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cbat",
"CBMB","CBM Bancorp, Inc.","12.63","$53.45M","2018","Finance","Savings Institutions","https://www.nasdaq.com/symbol/cbmb",
"CBOE","Cboe Global Markets, Inc.","100.89","$11.28B","2010","n/a","n/a","https://www.nasdaq.com/symbol/cboe",
"CBTX","CBTX, Inc.","31.78","$825.06M","2017","Finance","Major Banks","https://www.nasdaq.com/symbol/cbtx",
"CDK","CDK Global, Inc.","47.7","$6.14B","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/cdk",
"CDW","CDW Corporation","87.71","$13.16B","2013","Consumer Services","Catalog/Specialty Distribution","https://www.nasdaq.com/symbol/cdw",
"CECE","CECO Environmental Corp.","7.38","$257.93M","n/a","Capital Goods","Pollution Control Equipment","https://www.nasdaq.com/symbol/cece",
"CELC","Celcuity Inc.","22.34","$226.95M","2017","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/celc",
"CELG","Celgene Corporation","68.2","$47.69B","1987","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/celg",
"CELGZ","Celgene Corporation","0.8","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/celgz",
"CLDX","Celldex Therapeutics, Inc.","0.248","$42.77M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/cldx",
"APOP","Cellect Biotechnology Ltd.","2.81","$18.29M","2016","n/a","n/a","https://www.nasdaq.com/symbol/apop",
"APOPW","Cellect Biotechnology Ltd.","0.9001","n/a","2016","n/a","n/a","https://www.nasdaq.com/symbol/apopw",
"CLRB","Cellectar Biosciences, Inc.","2.27","$10.8M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/clrb",
"CLRBW","Cellectar Biosciences, Inc.","0.12","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/clrbw",
"CLRBZ","Cellectar Biosciences, Inc.","0.12","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/clrbz",
"CLLS","Cellectis S.A.","18.65","$791.32M","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/clls",
"CBMG","Cellular Biomedicine Group, Inc.","19.3","$355.05M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/cbmg",
"CLSN","Celsion Corporation","1.96","$36.71M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/clsn",
"CELH","Celsius Holdings, Inc.","3.46","$176.91M","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://www.nasdaq.com/symbol/celh",
"CYAD","Celyad SA","20.15","$240.64M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cyad",
"CETX","Cemtrex Inc.","0.82","$10.74M","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cetx",
"CETXP","Cemtrex Inc.","1.84","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cetxp",
"CETXW","Cemtrex Inc.","0.04","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cetxw",
"CDEV","Centennial Resource Development, Inc.","12.72","$3.51B","2016","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/cdev",
"CSFL","CenterState Bank Corporation","21.33","$2.04B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/csfl",
"CETV","Central European Media Enterprises Ltd.","3.18","$804.07M","1994","Consumer Services","Broadcasting","https://www.nasdaq.com/symbol/cetv",
"CFBK","Central Federal Corporation","13.75","$59.1M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/cfbk",
"CENT","Central Garden & Pet Company","33.05","$1.91B","1993","Consumer Durables","Consumer Specialties","https://www.nasdaq.com/symbol/cent",
"CENTA","Central Garden & Pet Company","30.01","$1.73B","n/a","Consumer Durables","Consumer Specialties","https://www.nasdaq.com/symbol/centa",
"CVCY","Central Valley Community Bancorp","18.8","$259.38M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cvcy",
"CNTX","Centrexion Therapeutics Corporation","n/a","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cntx",
"CTRC","Centric Brands Inc.","4.11","$239.76M","n/a","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/ctrc",
"CENX","Century Aluminum Company","8.15","$714.2M","1996","Basic Industries","Aluminum","https://www.nasdaq.com/symbol/cenx",
"CNBKA","Century Bancorp, Inc.","73.98","$411.91M","1987","Finance","Major Banks","https://www.nasdaq.com/symbol/cnbka",
"CNTY","Century Casinos, Inc.","6.68","$196.65M","n/a","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/cnty",
"CRNT","Ceragon Networks Ltd.","3.89","$304.86M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/crnt",
"CERC","Cerecor Inc.","3.32","$135.48M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cerc",
"CERN","Cerner Corporation","55.91","$18.42B","1986","Technology","EDP Services","https://www.nasdaq.com/symbol/cern",
"CERS","Cerus Corporation","5.53","$750.36M","1997","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/cers",
"KOOL","Cesca Therapeutics Inc.","0.2979","$6.45M","n/a","Capital Goods","Medical Specialities","https://www.nasdaq.com/symbol/kool",
"CEVA","CEVA, Inc.","22.51","$493.02M","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/ceva",
"CFFAU","CF Finance Acquisition Corp.","10","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/cffau",
"CSBR","Champions Oncology, Inc.","9.84","$109.86M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/csbr",
"CYOU","Changyou.com Limited","20.5","$1.08B","2009","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cyou",
"BURG","Chanticleer Holdings, Inc.","2","$7.43M","n/a","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/burg",
"CTHR","Charles & Colvard Ltd.","0.9","$19.44M","1997","Consumer Durables","Consumer Specialties","https://www.nasdaq.com/symbol/cthr",
"GTLS","Chart Industries, Inc.","61.26","$1.91B","2006","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/gtls",
"CHTR","Charter Communications, Inc.","309.42","$70.83B","n/a","Consumer Services","Television Services","https://www.nasdaq.com/symbol/chtr",
"CTAC","ChaSerg Technology Acquisition Corp.","9.68","$272.4M","2018","Finance","Business Services","https://www.nasdaq.com/symbol/ctac",
"CTACU","ChaSerg Technology Acquisition Corp.","9.99","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/ctacu",
"CTACW","ChaSerg Technology Acquisition Corp.","0.7304","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/ctacw",
"CHKP","Check Point Software Technologies Ltd.","107.42","$17.08B","1996","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/chkp",
"CHEK","Check-Cap Ltd.","2.925","$15.59M","2015","Health Care","Medical Electronics","https://www.nasdaq.com/symbol/chek",
"CHEKW","Check-Cap Ltd.","0.1299","n/a","2015","Health Care","Medical Electronics","https://www.nasdaq.com/symbol/chekw",
"CHEKZ","Check-Cap Ltd.","0.4995","n/a","n/a","Health Care","Medical Electronics","https://www.nasdaq.com/symbol/chekz",
"CKPT","Checkpoint Therapeutics, Inc.","2.02","$68.77M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ckpt",
"CEMI","Chembio Diagnostics, Inc.","5.98","$102.78M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cemi",
"CHFC","Chemical Financial Corporation","40.06","$2.86B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/chfc",
"CCXI","ChemoCentryx, Inc.","10.03","$506.77M","2012","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ccxi",
"CHMG","Chemung Financial Corp","41.5","$199.48M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/chmg",
"CHKE","Cherokee Inc.","0.6076","$8.53M","n/a","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/chke",
"CHFS","CHF Solutions, Inc.","0.715","$5.13M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www.nasdaq.com/symbol/chfs",
"CHMA","Chiasma, Inc.","3.71","$90.64M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/chma",
"CSSE","Chicken Soup for the Soul Entertainment, Inc.","8.94","$104.51M","2017","Consumer Services","Movies/Entertainment","https://www.nasdaq.com/symbol/csse",
"CSSEP","Chicken Soup for the Soul Entertainment, Inc.","24.9414","n/a","n/a","Consumer Services","Movies/Entertainment","https://www.nasdaq.com/symbol/cssep",
"PLCE","Children&#39;s Place, Inc. (The)","92.68","$1.5B","1997","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/plce",
"CMRX","Chimerix, Inc.","3.25","$164.85M","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cmrx",
"CADC","China Advanced Construction Materials Group, Inc.","2.41","$13.46M","n/a","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/cadc",
"CAAS","China Automotive Systems, Inc.","2.32","$73.41M","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/caas",
"CBPO","China Biologic Products Holdings, Inc.","72.02","$2.83B","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/cbpo",
"CCCL","China Ceramics Co., Ltd.","1.1","$5.12M","n/a","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/cccl",
"GLG","China Commercial Credit, Inc.","0.4764","$11.72M","2013","Finance","Major Banks","https://www.nasdaq.com/symbol/glg",
"CCRC","China Customer Relations Centers, Inc.","12","$219.96M","2015","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ccrc",
"JRJC","China Finance Online Co. Limited","1.08","$25.51M","2004","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/jrjc",
"HGSH","China HGS Real Estate, Inc.","1.1927","$53.73M","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/hgsh",
"CIFS","China Internet Nationwide Financial Services Inc.","1.29","$28.53M","2017","Consumer Services","Professional Services","https://www.nasdaq.com/symbol/cifs",
"CJJD","China Jo-Jo Drugstores, Inc.","2.28","$65.98M","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/cjjd",
"CLDC","China Lending Corporation","1.07","$26.24M","2014","Finance","Diversified Financial Services","https://www.nasdaq.com/symbol/cldc",
"CHNR","China Natural Resources, Inc.","1.69","$42.1M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/chnr",
"CREG","China Recycling Energy Corporation","1.005","$10.35M","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/creg",
"CNTF","China TechFaith Wireless Communication Technology Limited","1.712","$18.12M","2005","n/a","n/a","https://www.nasdaq.com/symbol/cntf",
"CXDC","China XD Plastics Company Limited","1.55","$78.2M","n/a","Capital Goods","Containers/Packaging","https://www.nasdaq.com/symbol/cxdc",
"CCIH","ChinaCache International Holdings Ltd.","1.26","$33.57M","2010","Technology","EDP Services","https://www.nasdaq.com/symbol/ccih",
"CNET","ChinaNet Online Holdings, Inc.","1.425","$22.99M","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/cnet",
"IMOS","ChipMOS TECHNOLOGIES INC.","17.27","$624.11M","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/imos",
"CDXC","ChromaDex Corporation","3.02","$166.41M","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/cdxc",
"CHSCL","CHS Inc","25.89","n/a","n/a","Consumer Services","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/chscl",
"CHSCM","CHS Inc","23.93","$454.67M","n/a","Consumer Services","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/chscm",
"CHSCN","CHS Inc","24.65","$414.12M","n/a","Consumer Services","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/chscn",
"CHSCO","CHS Inc","26.05","$294.86M","n/a","Consumer Services","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/chsco",
"CHSCP","CHS Inc","27.71","$200.41M","n/a","Consumer Services","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/chscp",
"CHDN","Churchill Downs, Incorporated","258.1","$3.5B","n/a","Consumer Services","Services-Misc. Amusement & Recreation","https://www.nasdaq.com/symbol/chdn",
"CHUY","Chuy&#39;s Holdings, Inc.","19.46","$329.85M","2012","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/chuy",
"CDTX","Cidara Therapeutics, Inc.","2.78","$77.15M","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/cdtx",
"CMCT","CIM Commercial Trust Corporation","16.65","$729.19M","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/cmct",
"CMCTP","CIM Commercial Trust Corporation","27.5","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/cmctp",
"CMPR","Cimpress N.V","110.05","$3.4B","n/a","Miscellaneous","Publishing","https://www.nasdaq.com/symbol/cmpr",
"CINF","Cincinnati Financial Corporation","79.41","$12.92B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/cinf",
"CIDM","Cinedigm Corp","0.7564","$26.58M","n/a","Consumer Services","Consumer Electronics/Video Chains","https://www.nasdaq.com/symbol/cidm",
"CTAS","Cintas Corporation","169.74","$18.14B","1983","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/ctas",
"CRUS","Cirrus Logic, Inc.","35.94","$2.15B","1989","Technology","Semiconductors","https://www.nasdaq.com/symbol/crus",
"CSCO","Cisco Systems, Inc.","45.82","$206B","1990","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/csco",
"CTRN","Citi Trends, Inc.","18.99","$245.49M","2005","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/ctrn",
"CTXR","Citius Pharmaceuticals, Inc.","1.1","$19.58M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ctxr",
"CTXRW","Citius Pharmaceuticals, Inc.","0.117","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ctxrw",
"CZNC","Citizens & Northern Corp","25.4","$312.38M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cznc",
"CZWI","Citizens Community Bancorp, Inc.","11.05","$121.04M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/czwi",
"CZFC","Citizens First Corporation","22.45","$56.97M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/czfc",
"CIZN","Citizens Holding Company","19.5","$95.64M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cizn",
"CTXS","Citrix Systems, Inc.","109.14","$14.71B","1995","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ctxs",
"CHCO","City Holding Company","71.73","$1.19B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/chco",
"CIVB","Civista Bancshares, Inc. ","18.08","$278.46M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/civb",
"CIVBP","Civista Bancshares, Inc. ","67.13","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/civbp",
"CLAR","Clarus Corporation","10.04","$299.7M","n/a","Consumer Non-Durables","Recreational Products/Toys","https://www.nasdaq.com/symbol/clar",
"CLNE","Clean Energy Fuels Corp.","1.91","$388.63M","2007","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/clne",
"CACG","ClearBridge All Cap Growth ETF","28.18","$54.95M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/cacg",
"YLDE","ClearBridge Dividend Strategy ESG ETF","27.14","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ylde",
"LRGE","ClearBridge Large Cap Growth ESG ETF","30.7233","$3.07M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/lrge",
"CLFD","Clearfield, Inc.","10.8","$147.38M","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/clfd",
"CLRO","ClearOne, Inc.","1.2699","$10.55M","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/clro",
"CLSD","Clearside Biomedical, Inc.","1.26","$40.35M","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/clsd",
"CLIR","ClearSign Combustion Corporation","1.16","$30.93M","2012","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/clir",
"CLIRW","ClearSign Combustion Corporation","0.0201","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/clirw",
"CMTA","Clementia Pharmaceuticals Inc.","11.4","$431.06M","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cmta",
"CBLI","Cleveland BioLabs, Inc.","1.71","$19.32M","2006","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://www.nasdaq.com/symbol/cbli",
"CLVS","Clovis Oncology, Inc.","20.76","$1.09B","2011","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/clvs",
"CLPS","CLPS Incorporation","5.33","$73.63M","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/clps",
"CMFN","CM Finance Inc","7.4","$100.96M","2014","n/a","n/a","https://www.nasdaq.com/symbol/cmfn",
"CMFNL","CM Finance Inc","24.75","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/cmfnl",
"CMSS","CM Seven Star Acquisition Corporation","10.13","$266.65M","2017","Finance","Business Services","https://www.nasdaq.com/symbol/cmss",
"CMSSR","CM Seven Star Acquisition Corporation","0.38","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/cmssr",
"CMSSU","CM Seven Star Acquisition Corporation","10.5","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/cmssu",
"CMSSW","CM Seven Star Acquisition Corporation","0.2538","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/cmssw",
"CME","CME Group Inc.","187.64","$67.13B","2002","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/cme",
"CCNE","CNB Financial Corporation","24.61","$375.24M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ccne",
"CCB","Coastal Financial Corporation","12.62","$150.02M","2018","Finance","Major Banks","https://www.nasdaq.com/symbol/ccb",
"COKE","Coca-Cola Bottling Co. Consolidated","210.15","$1.97B","1972","Consumer Non-Durables","Beverages (Production/Distribution)","https://www.nasdaq.com/symbol/coke",
"COCP","Cocrystal Pharma, Inc.","3.12","$93.36M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cocp",
"CODA","Coda Octopus Group, Inc.","5.902","$61.47M","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/coda",
"CDXS","Codexis, Inc.","19.51","$1.05B","2010","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/cdxs",
"CODX","Co-Diagnostics, Inc.","1.921","$24.81M","2017","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/codx",
"CVLY","Codorus Valley Bancorp, Inc","22.29","$199.64M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/cvly",
"JVA","Coffee Holding Co., Inc.","3.85","$21.64M","2005","Consumer Non-Durables","Food Distributors","https://www.nasdaq.com/symbol/jva",
"CCOI","Cogent Communications Holdings, Inc.","46.76","$2.17B","n/a","Consumer Services","Telecommunications Equipment","https://www.nasdaq.com/symbol/ccoi",
"CGNX","Cognex Corporation","39.66","$6.83B","1989","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cgnx",
"CTSH","Cognizant Technology Solutions Corporation","67.77","$39.24B","1998","Technology","EDP Services","https://www.nasdaq.com/symbol/ctsh",
"CWBR","CohBar, Inc.","3.92","$166.82M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cwbr",
"COHR","Coherent, Inc.","111.03","$2.71B","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/cohr",
"CHRS","Coherus BioSciences, Inc.","9.73","$661.88M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/chrs",
"COHU","Cohu, Inc.","16.65","$677.66M","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/cohu",
"CLCT","Collectors Universe, Inc.","11.4","$103.29M","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/clct",
"COLL","Collegium Pharmaceutical, Inc.","18.14","$603.11M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/coll",
"CIGI","Colliers International Group Inc. ","53.39","$2.02B","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/cigi",
"CLGN","CollPlant Holdings, Ltd.","4.1016","$15.63M","n/a","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/clgn",
"CBAN","Colony Bankcorp, Inc.","16.15","$136.39M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cban",
"COLB","Columbia Banking System, Inc.","36.92","$2.7B","1992","Finance","Major Banks","https://www.nasdaq.com/symbol/colb",
"CLBK","Columbia Financial, Inc.","15.5","$1.8B","2018","Finance","Savings Institutions","https://www.nasdaq.com/symbol/clbk",
"COLM","Columbia Sportswear Company","84.41","$5.82B","1998","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/colm",
"CMCO","Columbus McKinnon Corporation","30.53","$712.75M","1996","Capital Goods","Construction/Ag Equipment/Trucks","https://www.nasdaq.com/symbol/cmco",
"CMCSA","Comcast Corporation","36.34","$165.33B","n/a","Consumer Services","Television Services","https://www.nasdaq.com/symbol/cmcsa",
"CCNI","Command Center, Inc.","4.31","$20.32M","n/a","Technology","Professional Services","https://www.nasdaq.com/symbol/ccni",
"CBSH","Commerce Bancshares, Inc.","58.05","$6.47B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cbsh",
"CBSHP","Commerce Bancshares, Inc.","25.15","$2.3B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cbshp",
